|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
|16. (Kereste, Ağaç Ürünleri Ve Mantar Ürünleri (Mobilya Hariç); Hasır Ve Örme Malzemesinden (Saz, Saman Vb.) Ürünler)|2025|2903.1|2936.95|3052.11|3183.49|3280.13|3375.09|3481.27|3530.4|3572.84|3577.46|3606.93|3667.48|
||2026|3786.33||||||||||||
|16.1. (Kereste, Biçilmiş Ve Planyalanmış)|2025|2766.44|2846.65|2972.82|3069.45|3144.23|3253.76|3349.33|3398.92|3471.07|3482.56|3528.55|3560.72|
||2026|3665.77||||||||||||
|16.2. (Ahşap, Mantar, Hasır Ve Örgü Malzemesinden (Saz, Saman Vb.) Ürünler)|2025|3036.87|3060.85|3177.4|3321.64|3426.86|3521.66|3634.07|3684.8|3721.64|3724.77|3751.34|3820.77|
||2026|3946.24||||||||||||
|17. (Kağıt Ve Kağıt Ürünleri)|2025|3431.94|3524.38|3594.36|3810.36|3931.88|3979.71|3968.28|3968.1|3999.35|4006.84|4077.13|4150.43|
||2026|4317.7||||||||||||
|17.1. (Kağıt Hamuru, Kağıt Ve Mukavva)|2025|4810.53|5049.02|5513.69|6028.85|6087.26|5935.25|5919.42|5832.65|6043.93|6073.36|6149.1|6400.65|
||2026|6575.51||||||||||||
|17.2. (Kağıt Ve Mukavvadan Ürünler)|2025|3093.47|3169.67|3208.79|3389.6|3506.45|3563.88|3553.56|3559.06|3576.27|3581.79|3646.63|3702.98|
||2026|3860.54||||||||||||
|18. (Basım Ve Kayıt Hizmetleri)|2025|2310.09|2353.26|2425.47|2522.95|2592.94|2701.87|2759.04|2792.09|2823.46|2826.26|2863.49|2880.98|
||2026|3091.96||||||||||||
|18.1. (Basım Hizmetleri Ve Basımla İlgili Hizmetler)|2025|2310.09|2353.26|2425.47|2522.95|2592.94|2701.87|2759.04|2792.09|2823.46|2826.26|2863.49|2880.98|
||2026|3091.96||||||||||||
|19. (Kok Ve Rafine Petrol Ürünleri)|2025|6911.75|7114.2|6895.61|6760.36|6752.22|7297.64|7767.87|7625.39|7854.35|7797.08|8398.17|7739.67|
||2026|7753.07||||||||||||
|19.1. (Kok Fırını Ürünleri)|2025|4380.39|4461.28|4556.46|5121.27|5222.1|5312.25|5414.16|5502.1|5570.88|5640.44|5701.01|5754.01|
||2026|5823.75||||||||||||
|19.2. (Rafine Petrol Ürünleri)|2025|6933.22|7136.33|6916.87|6780.67|6772.41|7319.74|7791.59|7648.52|7878.25|7820.72|8423.94|7763.01|
||2026|7775.37||||||||||||
