|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
|C1320. (Dokuma)|2025|91.0|85.6|91.7|86.8|91.8|75.7|84.7|76.5|83.2|85.2|85.2|93.0|
|C133. (Tekstil Ürünlerinin Bitirilmesi)|2025|76.3|76.4|80.1|75.3|83.7|68.3|76.4|68.9|79.4|79.4|76.4|87.6|
|C1330. (Tekstil Ürünlerinin Bitirilmesi)|2025|76.3|76.4|80.1|75.3|83.7|68.3|76.4|68.9|79.4|79.4|76.4|87.6|
|C139. (Diğer Tekstil Ürünlerinin İmalatı)|2025|78.0|74.9|77.4|74.9|84.6|68.5|78.0|73.8|83.2|82.7|78.5|83.3|
|C1391. (Örgü (Triko) Veya Tığ İşi (Kroşe) Kumaşların İmalatı)|2025|69.6|63.7|66.8|66.8|75.3|62.6|69.8|67.0|73.8|76.6|71.2|71.9|
|C1392. (Giyim Eşyası Dışındaki Tamamlanmış Tekstil Ürünlerinin İmalatı)|2025|74.1|68.6|72.3|72.3|80.1|66.5|76.1|67.8|80.0|73.4|72.2|75.2|
|C1393. (Halı Ve Kilim İmalatı)|2025|83.1|83.4|84.4|76.7|89.5|67.4|79.8|78.9|90.5|92.2|86.6|93.6|
|C1394. (Halat, Urgan, Kınnap Ve Ağ İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C1395. (Dokusuz Kumaşların Ve Dokusuz Kumaştan Yapılan Ürünlerin İmalatı, Giyim Eşyası Hariç)|2025|87.2|84.9|86.2|82.8|92.5|81.2|85.9|86.0|91.6|91.2|85.7|89.7|
|C1396. (Diğer Teknik Ve Endüstriyel Tekstillerin İmalatı)|2025|81.9|83.9|88.0|84.4|94.1|76.8|86.2|79.9|87.9|91.2|82.7|96.9|
|C1399. (Başka Yerde Sınıflandırılmamış Diğer Tekstillerin İmalatı)|2025|77.9|75.4|74.0|75.8|83.4|63.3|75.3|71.9|74.3|80.2|77.1|84.3|
|C14. (Giyim Eşyalarının İmalatı)|2025|116.6|105.5|115.9|101.4|115.8|91.8|109.9|101.7|102.5|98.8|87.4|93.8|
|C141. (Kürk Hariç, Giyim Eşyası İmalatı)|2025|119.5|109.9|121.1|105.5|119.2|93.2|110.2|100.0|100.7|96.8|85.7|93.8|
|C1411. (Deri Giyim Eşyası İmalatı)|2025|145.6|124.5|119.5|121.7|131.3|149.1|280.5|259.6|222.9|205.0|171.1|189.9|
