|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
|01181. (Şeker)|2025|92.3|92.52|94.35|96.96|98.88|99.83|100.55|101.85|105.1|105.8|105.94|105.91|
||2026|106.31||||||||||||
|01183. (Reçel, Meyve Jöleleri, Marmelat, Meyve Püreleri Ve Ezmeleri, Bal)|2025|82.99|87.02|87.54|93.51|93.57|93.8|98.97|103.7|110.85|114.89|117.0|116.15|
||2026|119.82||||||||||||
|01184. (Sert Kabuklu Meyve Püresi, Meyve Ezmesi Ve Macunu)|2025|91.12|93.43|93.66|93.8|96.44|98.0|98.74|99.5|101.85|108.82|112.59|112.05|
||2026|115.38||||||||||||
|01185. (Çikolata, Kakao, Kakao Bazlı Gıda Ürünleri)|2025|81.03|85.8|85.34|91.62|92.46|98.44|101.03|108.53|112.33|114.15|112.96|116.29|
||2026|116.7||||||||||||
|01186. (Buz, Dondurma Ve Buzlu Şerbet (Sorbe))|2025|87.12|102.18|101.48|100.23|99.87|99.38|101.17|103.41|102.77|98.04|99.22|105.13|
||2026|124.47||||||||||||
|01189. (Başka Yerde Sınıflandırılmamış Tatlılar Ve Diğer Şekerlemeler)|2025|87.67|92.68|96.55|96.3|98.47|100.94|100.89|100.81|104.24|105.42|105.62|110.41|
||2026|109.78||||||||||||
|0119. (Yemeye Hazır Gıdalar Ve Başka Yerde Sınıflandırılmamış Diğer Gıda Ürünleri)|2025|91.39|90.08|91.75|95.12|96.61|97.21|99.99|102.83|105.02|109.3|109.91|110.8|
||2026|115.11||||||||||||
|01191. (Yemeye Hazır Gıdalar (Hazır Pizza, Börek, Çorba Vb.))|2025|89.09|87.17|85.31|96.99|98.86|99.42|104.94|107.43|102.94|110.0|107.61|110.24|
||2026|110.51||||||||||||
|01192. (Bebek Mamaları)|2025|86.24|83.87|86.46|94.02|97.99|99.79|103.32|104.7|105.61|111.45|113.78|112.79|
||2026|117.25||||||||||||
|01193. (Tuz, Çeşniler Ve Soslar)|2025|87.74|90.62|91.56|92.04|94.46|98.43|99.87|104.14|106.44|111.2|111.49|112.01|
||2026|113.37||||||||||||
|01194. (Baharatlar, Yemeklerde Kullanılan Otlar Ve Tohumlar)|2025|95.86|92.52|95.45|97.59|98.04|96.75|97.57|100.31|103.97|107.04|106.44|108.46|
||2026|122.3||||||||||||
|01199. (Başka Yerde Sınıflandırılmamış Diğer Gıda Ürünleri)|2025|89.27|90.15|87.54|91.45|90.85|90.18|103.1|105.93|106.79|111.38|117.33|116.03|
||2026|116.46||||||||||||
|012. (Alkolsüz İçecekler)|2025|87.75|88.73|90.93|91.8|94.58|95.92|99.19|104.18|108.59|111.73|111.95|114.64|
||2026|118.25||||||||||||
|0121. (Meyve Ve Sebze Suları)|2025|82.19|84.68|90.81|93.74|94.55|98.03|103.11|107.77|108.2|110.9|113.27|112.75|
||2026|118.8||||||||||||
|01210. (Meyve Ve Sebze Suları)|2025|82.19|84.68|90.81|93.74|94.55|98.03|103.11|107.77|108.2|110.9|113.27|112.75|
||2026|118.8||||||||||||
|0122. (Kahve Ve Kahve İkameleri)|2025|84.58|82.02|87.96|91.88|94.96|99.21|102.6|108.28|111.08|111.19|111.67|114.57|
||2026|121.02||||||||||||
|01220. (Kahve)|2025|84.58|82.02|87.96|91.88|94.96|99.21|102.6|108.28|111.08|111.19|111.67|114.57|
||2026|121.02||||||||||||
|0123. (Çay, Mate Çayı Ve Demlenerek Hazırlanan Diğer Bitkisel Ürünler)|2025|92.21|91.23|92.53|91.55|93.62|93.47|97.01|101.96|108.06|112.01|112.58|113.78|
||2026|116.57||||||||||||
|01230. (Çay Ve Demlenerek Hazırlanan Diğer Bitkisel Ürünler)|2025|92.21|91.23|92.53|91.55|93.62|93.47|97.01|101.96|108.06|112.01|112.58|113.78|
||2026|116.57||||||||||||
|0125. (Maden Suları Ve Kaynak Suları)|2025|86.89|90.92|92.55|93.62|96.92|96.53|99.83|104.64|107.98|110.38|109.19|110.54|
||2026|112.43||||||||||||
|01250. (Maden Suları Ve Kaynak Suları)|2025|86.89|90.92|92.55|93.62|96.92|96.53|99.83|104.64|107.98|110.38|109.19|110.54|
||2026|112.43||||||||||||
|0126. (Meşrubatlar)|2025|83.1|86.58|87.16|88.92|93.3|97.5|99.16|104.11|108.99|113.77|113.98|123.42|
||2026|127.56||||||||||||
|01260. (Meşrubatlar)|2025|83.1|86.58|87.16|88.92|93.3|97.5|99.16|104.11|108.99|113.77|113.98|123.42|
||2026|127.56||||||||||||
|02. (Alkollü İçecekler, Tütün Ve Tütün Ürünleri)|2025|86.44|86.43|95.04|94.98|95.04|95.17|100.59|106.67|106.64|109.22|111.86|111.92|
||2026|113.63||||||||||||
|021. (Alkollü İçecekler)|2025|93.05|92.92|93.69|92.81|93.32|93.79|104.83|107.56|107.18|106.98|106.55|107.32|
||2026|114.87||||||||||||
|0211. (İçkiler Ve Likörler)|2025|92.35|92.96|93.08|92.32|93.45|94.63|105.27|108.11|107.11|107.43|106.44|106.84|
||2026|114.81||||||||||||
|02110. (İçkiler Ve Likörler)|2025|92.35|92.96|93.08|92.32|93.45|94.63|105.27|108.11|107.11|107.43|106.44|106.84|
||2026|114.81||||||||||||
|0212. (Şaraplar)|2025|88.94|90.42|93.85|94.39|96.15|98.15|101.07|105.65|106.52|106.93|108.39|109.54|
||2026|112.45||||||||||||
|02121. (Şarap, Üzümden)|2025|88.94|90.42|93.85|94.39|96.15|98.15|101.07|105.65|106.52|106.93|108.39|109.54|
||2026|112.45||||||||||||
|0213. (Biralar)|2025|94.4|93.34|94.19|92.96|92.7|92.27|105.11|107.4|107.37|106.6|106.32|107.35|
||2026|115.26||||||||||||
|02130. (Biralar)|2025|94.4|93.34|94.19|92.96|92.7|92.27|105.11|107.4|107.37|106.6|106.32|107.35|
||2026|115.26||||||||||||
|023. (Tütün Ve Tütün Ürünleri)|2025|85.85|85.85|95.16|95.17|95.19|95.3|100.21|106.59|106.59|109.42|112.34|112.34|
||2026|112.34||||||||||||
|0230. (Tütün Ve Tütün Ürünleri)|2025|85.85|85.85|95.16|95.17|95.19|95.3|100.21|106.59|106.59|109.42|112.34|112.34|
||2026|112.34||||||||||||
|02301. (Sigara)|2025|85.85|85.85|95.16|95.17|95.19|95.3|100.21|106.59|106.59|109.42|112.34|112.34|
||2026|112.34||||||||||||
|03. (Giyim Ve Ayakkabı)|2025|96.82|91.92|89.65|95.47|102.13|101.85|95.92|95.24|98.97|111.27|112.03|108.73|
||2026|103.66||||||||||||
|031. (Giyim)|2025|97.8|91.7|88.73|95.14|102.93|102.44|95.52|94.5|98.45|111.68|112.09|109.03|
||2026|103.59||||||||||||
|0312. (Giysiler)|2025|98.46|91.66|88.35|95.04|103.28|102.71|95.16|94.0|98.08|112.01|112.31|108.95|
||2026|103.18||||||||||||
|03121. (Erkek Ve Erkek Çocuk Giysileri)|2025|96.64|90.7|88.18|94.91|103.2|101.64|94.88|93.54|98.52|113.22|114.31|110.25|
||2026|106.94||||||||||||
|03122. (Kadın Ve Kız Çocuk Giysileri)|2025|100.39|92.51|88.29|95.13|103.52|103.92|95.37|94.2|97.46|110.86|110.51|107.84|
||2026|99.6||||||||||||
|03123. (Bebek Giysileri (0-2 Yaş))|2025|99.52|95.79|93.64|96.14|99.73|101.63|97.43|100.49|101.34|108.31|103.91|102.07|
||2026|95.66||||||||||||
|03124. (Okul Üniformaları)|2025||||||||||||100.0|
||2026|100.15||||||||||||
|0313. (Diğer Giyim Eşyaları Ve Giyim Aksesuarları)|2025|91.05|94.18|95.35|97.57|99.28|98.94|99.56|99.86|101.41|106.18|108.18|108.45|
||2026|106.62||||||||||||
|03131. (Diğer Giyim Eşyaları)|2025|90.76|93.06|94.31|97.03|99.15|98.56|99.33|99.62|100.82|107.21|109.9|110.26|
||2026|108.4||||||||||||
|03132. (Giyim Aksesuarları)|2025|91.74|96.95|97.92|98.89|99.6|99.87|100.12|100.42|102.85|103.67|103.95|104.02|
|0314. (Giyim Eşyalarının Temizlenmesi, Onarımı, Tadilatı, Dikimi Ve Kiralanması)|2025|85.23|89.21|91.65|94.73|96.59|98.65|101.54|103.3|106.59|109.0|110.74|112.78|
||2026|123.9||||||||||||
|03141. (Giyim Eşyalarının Temizlenmesi)|2025|86.49|90.28|91.4|94.44|96.56|97.62|100.18|102.04|106.79|109.42|111.42|113.34|
||2026|126.44||||||||||||
|03142. (Giyim Eşyalarının Onarımı, Tadilatı, Dikimi Ve Kiralanması)|2025|84.57|88.65|91.78|94.89|96.6|99.19|102.26|103.96|106.48|108.77|110.38|112.48|
||2026|123.18||||||||||||
|032. (Ayakkabılar)|2025|93.16|92.75|93.05|96.72|99.13|99.66|97.42|98.0|100.93|109.75|111.81|107.63|
||2026|104.69||||||||||||
|0321. (Ayakkabılar)|2025|93.23|92.76|93.06|96.74|99.16|99.66|97.39|97.96|100.89|109.76|111.82|107.59|
||2026|104.65||||||||||||
|03211. (Erkek Ayakkabıları)|2025|93.16|92.86|93.04|96.52|97.89|99.41|97.11|98.89|102.85|109.82|111.67|106.77|
||2026|103.52||||||||||||
|03212. (Kadın Ayakkabıları)|2025|93.67|93.14|93.14|96.79|100.02|99.53|98.16|97.7|99.46|109.91|111.27|107.22|
||2026|104.88||||||||||||
|03213. (Bebek Ve Çocuk Ayakkabıları)|2025|92.32|91.62|92.88|97.13|100.03|100.52|96.17|96.44|99.77|109.27|113.49|110.36|
||2026|107.04||||||||||||
|0322. (Ayakkabıların Temizlenmesi, Tamiri Ve Kiralanması)|2025|84.86|90.69|92.48|94.28|95.98|99.65|101.93|103.51|105.77|108.01|110.57|112.26|
|03220. (Ayakkabıların Temizlenmesi, Tamiri Ve Kiralanması)|2025|84.86|90.69|92.48|94.28|95.98|99.65|101.93|103.51|105.77|108.01|110.57|112.26|
|04. (Konut, Su, Elektrik, Gaz Ve Diğer Yakıtlar)|2025|82.63|86.4|88.22|92.32|95.09|97.57|103.2|105.94|108.65|111.54|113.43|115.0|
||2026|120.1||||||||||||
|041. (Konut İçin Yapılan Gerçek Kira Ödemeleri)|2025|80.23|84.43|87.29|90.09|92.88|96.57|101.09|105.76|110.4|114.53|117.39|119.32|
||2026|125.6||||||||||||
|0411. (Ana İkametgah İçin Kiracılar Tarafından Ödenen Gerçek Kiralar)|2025|80.23|84.43|87.29|90.09|92.88|96.57|101.09|105.76|110.4|114.53|117.39|119.32|
||2026|125.6||||||||||||
|04110. (Kiracılar Tarafından Ödenen Gerçek Kira)|2025|80.23|84.43|87.29|90.09|92.88|96.57|101.09|105.76|110.4|114.53|117.39|119.32|
||2026|125.6||||||||||||
|043. (Konutun Bakımı, Onarımı Ve Güvenliği)|2025|88.26|91.15|92.42|95.53|97.71|99.1|101.43|103.51|105.48|106.99|108.12|110.31|
